nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
att48,att,exp_iter,ts,0.0266854763031005,10628,48,1176,12312,1,1684,100,40,1,0.1584493789988709
att48,att,exp_iter,bl,0.0185616016387939,10628,48,1176,11296,1,668,0,0,1,0.062852841550621
att48,att,exp_iter,ts,0.3059053421020508,10628,48,1176,11058,1,430,100,40,101,0.0404591644712081
att48,att,exp_iter,bl,0.0279481410980224,10628,48,1176,10966,1,338,0,0,101,0.0318027850959729
att48,att,exp_iter,ts,0.6622955799102783,10628,48,1176,10979,1,351,100,40,201,0.0330259691381257
att48,att,exp_iter,bl,0.0365781784057617,10628,48,1176,10966,1,338,0,0,201,0.0318027850959729
att48,att,exp_iter,ts,0.994220733642578,10628,48,1176,10916,1,288,100,40,301,0.0270982310876928
att48,att,exp_iter,bl,0.0430805683135986,10628,48,1176,10966,1,338,0,0,301,0.0318027850959729
att48,att,exp_iter,ts,1.4254283905029297,10628,48,1176,10916,1,288,100,40,401,0.0270982310876928
att48,att,exp_iter,bl,0.0481085777282714,10628,48,1176,10966,1,338,0,0,401,0.0318027850959729
att48,att,exp_iter,ts,1.7402126789093018,10628,48,1176,10916,1,288,100,40,501,0.0270982310876928
att48,att,exp_iter,bl,0.0596153736114501,10628,48,1176,10966,1,338,0,0,501,0.0318027850959729
att48,att,exp_iter,ts,2.1213173866271973,10628,48,1176,10916,1,288,100,40,601,0.0270982310876928
att48,att,exp_iter,bl,0.0648849010467529,10628,48,1176,10966,1,338,0,0,601,0.0318027850959729
att48,att,exp_iter,ts,2.639038562774658,10628,48,1176,10916,1,288,100,40,701,0.0270982310876928
att48,att,exp_iter,bl,0.0755660533905029,10628,48,1176,10966,1,338,0,0,701,0.0318027850959729
att48,att,exp_iter,ts,2.8923139572143555,10628,48,1176,10916,1,288,100,40,801,0.0270982310876928
att48,att,exp_iter,bl,0.0846054553985595,10628,48,1176,10966,1,338,0,0,801,0.0318027850959729
att48,att,exp_iter,ts,3.314908742904663,10628,48,1176,10916,1,288,100,40,901,0.0270982310876928
att48,att,exp_iter,bl,0.0874264240264892,10628,48,1176,10966,1,338,0,0,901,0.0318027850959729
att48,att,exp_iter,ts,3.644191265106201,10628,48,1176,10916,1,288,100,40,1001,0.0270982310876928
att48,att,exp_iter,bl,0.1006162166595459,10628,48,1176,10966,1,338,0,0,1001,0.0318027850959729
att48,att,exp_iter,ts,3.99423885345459,10628,48,1176,10916,1,288,100,40,1101,0.0270982310876928
att48,att,exp_iter,bl,0.1057140827178955,10628,48,1176,10966,1,338,0,0,1101,0.0318027850959729
att48,att,exp_iter,ts,4.300115346908569,10628,48,1176,10916,1,288,100,40,1201,0.0270982310876928
att48,att,exp_iter,bl,0.1145036220550537,10628,48,1176,10966,1,338,0,0,1201,0.0318027850959729
att48,att,exp_iter,ts,4.577974557876587,10628,48,1176,10916,1,288,100,40,1301,0.0270982310876928
att48,att,exp_iter,bl,0.1106960773468017,10628,48,1176,10966,1,338,0,0,1301,0.0318027850959729
att48,att,exp_iter,ts,5.054431915283203,10628,48,1176,10916,1,288,100,40,1401,0.0270982310876928
att48,att,exp_iter,bl,0.1296396255493164,10628,48,1176,10966,1,338,0,0,1401,0.0318027850959729
att48,att,exp_iter,ts,5.347018241882324,10628,48,1176,10916,1,288,100,40,1501,0.0270982310876928
att48,att,exp_iter,bl,0.1224367618560791,10628,48,1176,10966,1,338,0,0,1501,0.0318027850959729
berlin52,berlin,exp_iter,ts,0.0239074230194091,7542,52,1378,9454,1,1912,100,40,1,0.2535136568549456
berlin52,berlin,exp_iter,bl,0.0189828872680664,7542,52,1378,9218,1,1676,0,0,1,0.2222222222222222
berlin52,berlin,exp_iter,ts,0.3668420314788818,7542,52,1378,8643,1,1101,100,40,101,0.1459824980111376
berlin52,berlin,exp_iter,bl,0.03257417678833,7542,52,1378,8411,1,869,0,0,101,0.1152214266772739
berlin52,berlin,exp_iter,ts,0.816394567489624,7542,52,1378,8643,1,1101,100,40,201,0.1459824980111376
berlin52,berlin,exp_iter,bl,0.0389654636383056,7542,52,1378,8411,1,869,0,0,201,0.1152214266772739
berlin52,berlin,exp_iter,ts,1.260549783706665,7542,52,1378,8643,1,1101,100,40,301,0.1459824980111376
berlin52,berlin,exp_iter,bl,0.0498614311218261,7542,52,1378,8411,1,869,0,0,301,0.1152214266772739
berlin52,berlin,exp_iter,ts,1.7008230686187744,7542,52,1378,8271,1,729,100,40,401,0.0966587112171837
berlin52,berlin,exp_iter,bl,0.0588905811309814,7542,52,1378,8411,1,869,0,0,401,0.1152214266772739
berlin52,berlin,exp_iter,ts,2.0992438793182373,7542,52,1378,8239,1,697,100,40,501,0.092415804826306
berlin52,berlin,exp_iter,bl,0.0609428882598876,7542,52,1378,8411,1,869,0,0,501,0.1152214266772739
berlin52,berlin,exp_iter,ts,2.521620273590088,7542,52,1378,8239,1,697,100,40,601,0.092415804826306
berlin52,berlin,exp_iter,bl,0.0708460807800293,7542,52,1378,8411,1,869,0,0,601,0.1152214266772739
berlin52,berlin,exp_iter,ts,3.011818647384644,7542,52,1378,8239,1,697,100,40,701,0.092415804826306
berlin52,berlin,exp_iter,bl,0.0838661193847656,7542,52,1378,8411,1,869,0,0,701,0.1152214266772739
berlin52,berlin,exp_iter,ts,3.480587244033813,7542,52,1378,8239,1,697,100,40,801,0.092415804826306
berlin52,berlin,exp_iter,bl,0.1039309501647949,7542,52,1378,8411,1,869,0,0,801,0.1152214266772739
berlin52,berlin,exp_iter,ts,3.882854223251343,7542,52,1378,8222,1,680,100,40,901,0.0901617608061522
berlin52,berlin,exp_iter,bl,0.0977706909179687,7542,52,1378,8411,1,869,0,0,901,0.1152214266772739
berlin52,berlin,exp_iter,ts,4.226940155029297,7542,52,1378,8197,1,655,100,40,1001,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.1165175437927246,7542,52,1378,8411,1,869,0,0,1001,0.1152214266772739
berlin52,berlin,exp_iter,ts,4.554198980331421,7542,52,1378,8197,1,655,100,40,1101,0.0868469901882789
